[2025-09-22 13:53:03] IP: 45.91.92.9 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 | Referer: https://www.bing.com/ | Page: black
[2025-09-22 13:54:09] IP: 209.85.238.3 | UserAgent: Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.7258.127 Mobile Safari/537.36 | Referer: None | Page: white
[2025-09-22 13:54:12] IP: 45.91.92.9 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0 | Referer: https://www.bing.com/ | Page: black
[2025-09-22 13:54:21] IP: 45.91.92.9 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0 | Referer: None | Page: white
[2025-09-22 13:55:24] IP: 109.40.240.210 | UserAgent: Mozilla/5.0 (Linux; arm_64; Android 12; Mi 9) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.6099.115 Mobile Safari/537.36 | Referer: https://www.bing.com/ | Page: black
[2025-09-22 13:55:51] IP: 41.215.62.118 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0 | Referer: https://www.bing.com/ | Page: black
[2025-09-22 14:01:22] IP: 45.91.92.9 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 | Referer: https://www.bing.com/ | Page: black
[2025-09-22 14:07:31] IP: 45.91.92.9 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 | Referer: https://www.bing.com/ | Page: black
[2025-09-22 14:08:31] IP: 217.217.244.6 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 | Referer: https://www.bing.com/ | Page: black
[2025-09-22 14:10:57] IP: 217.217.244.6 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 | Referer: None | Page: white
[2025-09-22 14:15:28] IP: 45.91.92.9 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 | Referer: https://www.bing.com/ | Page: black
[2025-09-22 14:15:29] IP: 45.91.92.9 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 | Referer: https://angry-ip-scanner.com/Angry%20IP%20Scanner%20-%20Download%20for%20Windows,%20Mac%20or%20Linux_files/main.css | Page: white
[2025-09-22 14:16:33] IP: 65.109.119.109 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0 | Referer: https://www.bing.com/ | Page: black
[2025-09-22 14:16:34] IP: 65.109.119.109 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0 | Referer: https://angry-ip-scanner.com/Angry%20IP%20Scanner%20-%20Download%20for%20Windows,%20Mac%20or%20Linux_files/main.css | Page: white
[2025-09-22 14:17:17] IP: 45.91.92.9 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 | Referer: https://www.bing.com/ | Page: black
